"INSTITUTION","EACITY","EASTATE","EASTATECODE","EASTARTYEAR","EATERMINATIONYEAR","EATYPE","DSANCTION"
"Crown Bank, National Association","Ocean City","New Jersey","NJ",2008,,"Bank Civil Money Penalties",1
"Enterprise Bank, National Association","Omaha","Nebraska","NE",2011,,"Bank Civil Money Penalties",1
"Equitable Bank","Grand Island","Nebraska","NE",2014,,"Bank Civil Money Penalties",1
"Fifth Third Bank, National Association","Franklin","Tennessee","TN",2005,,"Bank Civil Money Penalties",1
"Fifth Third Trust Company, National Association","Naples","Florida","FL",1991,,"Bank Civil Money Penalties",1
"First Citizens National Bank of Upper Sandusky, The","Upper Sandusky","Ohio","OH",1991,,"Bank Civil Money Penalties",1
"First Colorado Bank Of Pueblo, National Association","Pueblo","Colorado","CO",1990,,"Bank Civil Money Penalties",1
"First Federal Bank of The Midwest","Defiance","Ohio","OH",2013,,"Bank Civil Money Penalties",1
"First Federal Community Bank, National Association","Dover","Ohio","OH",2015,,"Bank Civil Money Penalties",1
"First Fidelity Bank, National Association","Oklahoma City","Oklahoma","OK",2006,,"Bank Civil Money Penalties",1
"First Fidelity Trust, National Association","Boca Raton","Florida","FL",1991,,"Bank Civil Money Penalties",1
"First Fidelity Trust, National Association, Florida","Boca Raton","Florida","FL",1991,,"Bank Civil Money Penalties",1
"First Financial Bank, National Association","Hamilton","Ohio","OH",2015,,"Bank Civil Money Penalties",1
"First National Bank","North Platte","Nebraska","NE",2005,,"Bank Civil Money Penalties",1
"First National Bank","Orrville","Ohio","OH",2005,,"Bank Civil Money Penalties",1
"First National Bank & Trust","Kokomo","Indiana","IN",2003,,"Bank Civil Money Penalties",1
"First National Bank In Cannon Falls","Cannon Falls","Minnesota","MN",1991,,"Bank Civil Money Penalties",1
"First National Bank of Akron, The","Akron","Ohio","OH",1991,,"Bank Civil Money Penalties",1
"First National Bank of Chicago, The","Chicago","Illinois","IL",1999,,"Bank Civil Money Penalties",1
"First National Bank of Colorado","Boulder","Colorado","CO",2005,,"Bank Civil Money Penalties",1
"First National Bank Of Fairfield","Fairfield","Texas","TX",1992,,"Bank Civil Money Penalties",1
"First National Bank Of Grants","Grants","New Mexico","NM",1990,,"Bank Civil Money Penalties",1
"First National Bank Of Hamliton","Hamilton","Alabama","AL",1990,,"Bank Civil Money Penalties",1
"First National Bank Of Lewis County","Vanceburg","Kentucky","KY",1994,,"Bank Civil Money Penalties",1
"First National Bank of Omaha","Omaha","Nebraska","NE",2005,,"Bank Civil Money Penalties",1
"First National Bank of Omaha","Omaha","Nebraska","NE",2006,,"Bank Civil Money Penalties",1
"First National Bank of Omaha","Omaha","Nebraska","NE",2009,,"Bank Civil Money Penalties",1
"First National Bank of Pennsylvania","Greenville","Pennsylvania","PA",2015,,"Bank Civil Money Penalties",1
"First National Bank of Picayune","Picayune","Mississippi","MS",2013,,"Bank Civil Money Penalties",1
"First Niagara Bank, National Association","Buffalo","New York","NY",2011,,"Bank Civil Money Penalties",1
"First Suburban National Bank","Maywood","Illinois","IL",1998,,"Bank Civil Money Penalties",1
"FNB Bank, National Association","Danville","Pennsylvania","PA",2013,,"Bank Civil Money Penalties",1
"Fort Knox National Bank","Radcliff","Kentucky","KY",2006,,"Bank Civil Money Penalties",1
"FSGBank, National Association","Chattanooga","Tennessee","TN",2005,,"Bank Civil Money Penalties",1
"Fulton Bank, National Association","Lancaster","Pennsylvania","PA",2013,,"Bank Civil Money Penalties",1
"Great Plains National Bank","Elk City","Oklahoma","OK",2010,,"Bank Civil Money Penalties",1
"Great Plains National Bank","Elk City","Oklahoma","OK",2013,,"Bank Civil Money Penalties",1
"Harbor National Bank","Branford","Connecticut","CT",1990,,"Bank Civil Money Penalties",1
"Helena National Bank","Helena","Arkansas","AR",2014,,"Bank Civil Money Penalties",1
"Houston National Bank","Houston","Texas","TX",1990,,"Bank Civil Money Penalties",1
"Hunterdon National Bank","Clinton Township","New Jersey","NJ",1990,,"Bank Civil Money Penalties",1
"Indian River National Bank","Vero Beach","Florida","FL",2005,,"Bank Civil Money Penalties",1
"Keybank National Association","Cleveland","Ohio","OH",2015,,"Bank Civil Money Penalties",1
"Lake National Bank","Mentor","Ohio","OH",2014,,"Bank Civil Money Penalties",1
"Lasalle Bank MidWest National Association","Troy","Michigan","MI",2005,,"Bank Civil Money Penalties",1
"Lasalle Bank MidWest National Association","Troy","Michigan","MI",2007,,"Bank Civil Money Penalties",1
"Lasalle Bank National Association","Chicago","Illinois","IL",2007,,"Bank Civil Money Penalties",1
"Liberty National Bank","Austin","Texas","TX",1991,,"Bank Civil Money Penalties",1
"Magna Bank, National Association","Waterloo","Iowa","IA",1992,,"Bank Civil Money Penalties",1
"Marine Midland Bank, National Association","Buffalo","New York","NY",1990,,"Bank Civil Money Penalties",1
"Marquette Bank Minneapolis, National Association","Minneapolis","Minnesota","MN",1992,,"Bank Civil Money Penalties",1
"Mesa National Bank","Grand Junction","Colorado","CO",1992,,"Bank Civil Money Penalties",1
"MidWest Bank, National Association","Pierce","Nebraska","NE",2006,,"Bank Civil Money Penalties",1
"Moody National Bank Of Galveston","Galveston","Texas","TX",1990,,"Bank Civil Money Penalties",1
"Morgan Trust Company Of Florida National Associationociation","Palm Beach","Florida","FL",1990,,"Bank Civil Money Penalties",1
"Mutual of Omaha Bank","Omaha","Nebraska","NE",2013,,"Bank Civil Money Penalties",1
"National Bank of Ohio","Oak Harbor","Ohio","OH",2013,,"Bank Civil Money Penalties",1
"National City Bank","Cleveland","Ohio","OH",2003,,"Bank Civil Money Penalties",1
"National City Bank","Cleveland","Ohio","OH",2009,,"Bank Civil Money Penalties",1
"Nationsbank, National Association","Charlotte","North Carolina","NC",1998,,"Bank Civil Money Penalties",1
"Northern Trust, National Association","Miami","Florida","FL",2008,,"Bank Civil Money Penalties",1
"Old National Bank","Evansville","Indiana","IN",2008,,"Bank Civil Money Penalties",1
"Omega Bank, National Association","State College","Pennsylvania","PA",2004,,"Bank Civil Money Penalties",1
"Pacific Capital Bank, National Association","Santa Barbara","California","CA",2007,,"Bank Civil Money Penalties",1
"Peoples National Bank","Bogata","Texas","TX",1990,,"Bank Civil Money Penalties",1
"Perpetual FSB","Urbana","Ohio","OH",2013,,"Bank Civil Money Penalties",1
"Riverside National Bank of Florida","Fort Pierce","Florida","FL",2007,,"Bank Civil Money Penalties",1
"Saddle River Valley Bank","Montclair","New Jersey","NJ",2013,,"Bank Civil Money Penalties",1
"Seacoast National Bank","Stuart","Florida","FL",2006,,"Bank Civil Money Penalties",1
"Security Pacific National Trust Company, Na","New York","New York","NY",1992,,"Bank Civil Money Penalties",1
"Sprague National Bank","Caledonia","Minnesota","MN",1992,,"Bank Civil Money Penalties",1
"Star Bank, National Association","Independence","Ohio","OH",1991,,"Bank Civil Money Penalties",1
"Sumner National Bank of Sheldon","Sheldon","Illinois","IL",2015,,"Bank Civil Money Penalties",1
"Sun Bank Capital Management, National Association","Orlando","Florida","FL",1990,,"Bank Civil Money Penalties",1
"Swineford National Bank","Middleburg","Pennsylvania","PA",2013,,"Bank Civil Money Penalties",1
"TCF National Bank","Sioux Falls","South Dakota","SD",2016,,"Bank Civil Money Penalties",1
"TD Bank, National Association","Wilmington","Delaware","DE",2013,,"Bank Civil Money Penalties",1
"Terre Haute First National Bank","Terre Haute","Indiana","IN",2003,,"Bank Civil Money Penalties",1
"Texas Commerce Bank - Conroe, National Association","Conroe","Texas","TX",1989,,"Bank Civil Money Penalties",1
"The Bank National Association","McAlester","Oklahoma","OK",2011,,"Bank Civil Money Penalties",1
"The Citizens National Bank Of Tipton","Tipton","Indiana","IN",1990,,"Bank Civil Money Penalties",1
"The Farmers National Bank of Danville","Danville","Kentucky","KY",2006,,"Bank Civil Money Penalties",1
"The First National Bank In Cannon Falls","Cannon Falls","Minnesota","MN",1992,,"Bank Civil Money Penalties",1
"The First National Bank of Arvada","Arvada","Colorado","CO",2005,,"Bank Civil Money Penalties",1
"The First National Bank of McConnelsville","McConnelsville","Ohio","OH",2012,,"Bank Civil Money Penalties",1
"The First National Bank Of Peterstown","Peterstown","West Virginia","WV",1991,,"Bank Civil Money Penalties",1
"The First National Bank of Talladega","Talladega","Alabama","AL",2010,,"Bank Civil Money Penalties",1
"The First National Bank of Waterloo","Waterloo","Illinois","IL",2000,,"Bank Civil Money Penalties",1
"The First National Bank of Waverly","Waverly","Ohio","OH",2013,,"Bank Civil Money Penalties",1
"The First National Bank of Wellston","Wellston","Ohio","OH",2011,,"Bank Civil Money Penalties",1
"The Fremont National Bank and Trust Company","Fremont","Nebraska","NE",2003,,"Bank Civil Money Penalties",1
"The Granger National Bank","Granger","Texas","TX",1991,,"Bank Civil Money Penalties",1
"The Hondo National Bank","Hondo","Texas","TX",2014,,"Bank Civil Money Penalties",1
"The Merchants National Bank Of Sacramento","Sacramento","California","CA",1990,,"Bank Civil Money Penalties",1
"The National Union Bank of Kinderhook","Kinderhook","New York","NY",2011,,"Bank Civil Money Penalties",1
"The Oakland National Bank","Oakland","Illinois","IL",1990,,"Bank Civil Money Penalties",1
"The Park Avenue Bank, National Association","New York","New York","NY",2000,,"Bank Civil Money Penalties",1
"The Park National Bank","Newark","Ohio","OH",2011,,"Bank Civil Money Penalties",1
"The Private Bank Of Coral Gables","Coral Gables","Florida","FL",1991,,"Bank Civil Money Penalties",1
"The Rawlins National Bank","Rawlins","Wyoming","WY",1991,,"Bank Civil Money Penalties",1
"Thomasville National Bank","Thomasville","Georgia","GA",2007,,"Bank Civil Money Penalties",1
"Trustmark National Bank","Jackson","Mississippi","MS",2012,,"Bank Civil Money Penalties",1
"U.S. Bank National Association","Cincinnati","Ohio","OH",2006,,"Bank Civil Money Penalties",1
"Union Bank Of California, National Association","San Francisco","California","CA",1992,,"Bank Civil Money Penalties",1
"Union National Bank","Austin","Texas","TX",1990,,"Bank Civil Money Penalties",1
"Union National Bank Of Arkansas, Little Rock, Arkansas","Little Rock","Arkansas","AR",1990,,"Bank Civil Money Penalties",1
"Union National Bank Of Oklahoma","Temple","Oklahoma","OK",1990,,"Bank Civil Money Penalties",1
"United Bank Of Cherry Creek, National Association","Denver","Colorado","CO",1990,,"Bank Civil Money Penalties",1
"United Bank Of Monaco, N.A","Denver","Colorado","CO",1990,,"Bank Civil Money Penalties",1
"United Community Bank","Lawrenceburg","Indiana","IN",2013,,"Bank Civil Money Penalties",1
"United Mercantile Bank And Trust","Pasadena","California","CA",1991,,"Bank Civil Money Penalties",1
"Watseka First National Bank","Watseka","Illinois","IL",1991,,"Bank Civil Money Penalties",1
"Webster Bank, National Association","Waterbury","Connecticut","CT",2007,,"Bank Civil Money Penalties",1
"Wellington Trust Company, National Association","Boston","Massachusetts","MA",1990,,"Bank Civil Money Penalties",1
"Wells Fargo Bank Of Arizona, National Association","Phoenix","Arizona","AZ",1992,,"Bank Civil Money Penalties",1
"Wells Fargo Bank, National Association","Sioux Falls","South Dakota","SD",2005,,"Bank Civil Money Penalties",1
"Wells Fargo Bank, National Association","Sioux Falls","South Dakota","SD",2009,,"Bank Civil Money Penalties",1
"West Texas National Bank","Midland","Texas","TX",2008,,"Bank Civil Money Penalties",1
"Whitney National Bank In St. Tammany","Mandeville","Louisiana","LA",1990,,"Bank Civil Money Penalties",1
"Zions First National Bank","Salt Lake City","Utah","UT",2011,,"Bank Civil Money Penalties",1
"Old National Bank","Evansville","Indiana","IN",2004,,"Bank Civil Money Penalties",1
